GSE,Title,Samples,PDAT,Technology
GSE160120,Minimal Genomic Instability and Increased Immune Activity Differentiate EBV-positive PTCL from ENKTL and PTCL NOS,165,2021/11/27,Microarray
GSE160119,Minimal Genomic Instability and Increased Immune Activity Differentiate EBV-positive PTCL from ENKTL and PTCL NOS [GEP],88,2021/11/27,Microarray
GSE189343,Clinical and biological relevance of the transcriptomic-based prostate cancer metastasis subtypes MetA-C,103,2021/11/23,Microarray
GSE166999,Integrative analysis of non-small cell lung cancer patient-derived xenografts identifies unique proteotypes associated with patient outcomes,110,2021/11/23,Microarray
GSE166998,Integrative analysis of non-small cell lung cancer patient-derived xenografts identifies unique proteotypes associated with patient outcomes [WG-DASL],100,2021/11/23,Microarray
GSE123088,A validated single-cell-based strategy to identify diagnostic and therapeutic targets in complex diseases,204,2021/11/23,Microarray
GSE123086,A validated single-cell-based strategy to identify diagnostic and therapeutic targets in complex diseases [study of 13 diseases],166,2021/11/23,Microarray
GSE169455,Differential neoadjuvant chemotherapy response in urothelial carcinoma molecular subtypes,149,2021/11/19,Microarray
GSE183030,A novel diagnostic approach for the classification of small B-cell lymphoid neoplasms based on the NanoString platform,356,2021/11/18,Microarray
GSE189007,Gene-expression profiles of whole blood cells from a Han Chinese population with or without Type-2 Diabetes Mellitus or/and its complications in nephropathy and retinopathy,130,2021/11/17,Microarray
GSE148321,Dietary palmitic acid promotes a prometastatic epigenetic memory related to tumor innervation,1134,2021/11/16,Microarray
GSE148320,Dietary palmitic acid promotes a prometastatic epigenetic memory related to tumor innervation [III],57,2021/11/16,Microarray
GSE148319,Dietary palmitic acid promotes a prometastatic epigenetic memory related to tumor innervation [IV],83,2021/11/16,Microarray
GSE106584,Identifying biomarkers predicting response to chemotherapy in Stage II and Stage III colorectal cancer patients,156,2021/11/04,Microarray
GSE163173,Gene expression profiling in HPV-infected oropharyngeal head and neck cancer,286,2021/11/03,Microarray
GSE182852,AGATA: First nationwide molecular screening program in Spain for patients with advanced breast cancer,177,2021/11/01,Microarray
GSE122626,Whole Blood Gene Expression Profiling in Patients Undergoing Laparoscopic Colon Cancer Surgery,78,2021/11/01,Microarray
GSE152529,Pharmacogenomic characterization of the MDM2 inhibitor MI-773 reveals candidate tumours and predictive biomarkers,237,2021/10/27,Microarray
GSE186110,Functional screen of Inflammatory bowel disease genes reveals key epithelial functions: Illumina Whole Genome Dataset,376,2021/10/20,Microarray
GSE162789,Class I histone deacetylases (HDAC) critically contribute to Ewing sarcoma pathogenesis,78,2021/10/20,Microarray
GSE186001,Functional screen of Inflammatory bowel disease genes reveals key epithelial functions: Agilent Targeted Dataset,426,2021/10/16,Microarray
GSE185264,Identification of a Novel Inflamed Tumor Microenvironment Signature as a Predictive Biomarker of Bacillus Calmette-Guérin Immunotherapy in Non–Muscle-Invasive Bladder Cancer,78,2021/10/05,Microarray
GSE166069,Cell-type specific meQTL extends melanoma GWAS annotation beyond eQTL and identifies a melanocyte gene regulatory network,106,2021/10/01,Microarray
GSE180347,Transcriptomic analysis of PD-L1 positive and negative hot lung adenocarcinomas identifies a different molecular immunogenic landscape,144,2021/09/27,Microarray
GSE184585,Gene expression data from patients with pancreatic ductal adenocarcinoma,82,2021/09/23,Microarray
GSE183356,Molecular Profiling of COVID-19 Autopsies Uncovers Novel Disease Mechanisms [Digital Spatial Profiling data],120,2021/09/03,Microarray
GSE183140,Integrated miRNA-genomic analysis of sunitinib resistance in clear cell renal cell carcinoma (CCRCC) cell lines,54,2021/09/02,Microarray
GSE145848,Key Super Enhancers Drive Tumor-Suppressing Transcription Feedback Programs in Mature B Cell Cancers,301,2021/09/02,Microarray
GSE182162,Neoadjuvant talimogene laherparepvec plus surgery vs surgery alone for resectable stage IIIB-IVM1a melanoma,135,2021/09/01,Microarray
GSE162228,Concordance of PAM50 molecular subtyping between oligonucleotide microarray and NanoString nCounter assay for Taiwanese breast cancer,133,2021/09/01,Microarray
GSE178201,The Carcinogenome Project,3984,2021/08/28,Microarray
GSE128990,Immune subtype of ovarian clear cell carcinoma,96,2021/08/27,Microarray
GSE181574,Neoadjuvant T-DM1/pertuzumab and paclitaxel/trastuzumab/pertuzumab for HER2-positive breast cancer in the adaptively randomized I-SPY2 trial.,127,2021/08/24,Microarray
GSE180962,Ganitumab and Metformin plus Standard Neoadjuvant Therapy in Stage 2/3 Breast Cancer: Results from the I-SPY2 Adaptively Randomized Platform Trial,233,2021/08/24,Microarray
GSE182299,Molecular Profiling of COVID-19 Autopsies Uncovers Novel Disease Mechanisms,148,2021/08/20,Microarray
GSE159956,ABI1-based 7-gene expression signature predicts breast cancer metastasis and survival,295,2021/08/18,Microarray
GSE160482,Response of SCLC to mutant KRAS or EGFR induction,54,2021/08/17,Microarray
GSE147996,Replacement of nitrite in meat products by natural bioactive compounds results in reduced exposure to N-nitroso compounds: the PHYTOME project,216,2021/08/17,Microarray
GSE181548,Pam50 of a Triple-Negative Breast Cancer Cohort Treated with Neoadjuvant Carboplatin and Docetaxel According to Lehmann's Refined Classification,105,2021/08/07,Microarray
GSE167213,Identifying High-Risk Triple-Negative Breast Cancer Patients by Molecular Subtyping,124,2021/07/31,Microarray
GSE181063,Whole genome expression profiling based on paraffin embedded tissue of a large DLBCL cohort,1310,2021/07/30,Microarray
GSE142583,Gene Expression Profiling and Prediction of Survival in Oropharyngeal Tumors,58,2021/07/30,Microarray
GSE178236,Genome-wide gene expression analysis in 84 neurospheres derived from as many primary glioblastomas,113,2021/07/27,Microarray
GSE178120,Gene expression profiling of colorectal cancer tissue samples,105,2021/07/27,Microarray
GSE159216,Gene expression profiling of colorectal cancer liver metastases (CRLM).,283,2021/07/27,Microarray
GSE180607,Network-based assessment of HDAC6 activity is highly predictive of pre-clinical and clinical responses to the HDAC6 inhibitor ricolinostat,73,2021/07/23,Microarray
GSE157284,Gene expression profiles of PD-L1 SP142 expression in triple-negative breast cancer,82,2021/07/14,Microarray
GSE147116,Gene expression profile unveils different biological effect of serum Vitamin in Hodgkin and Diffuse Large B-Cell Lymphoma,64,2021/07/13,Microarray
GSE147115,DLBCL patients,52,2021/07/13,Microarray
GSE58785,Pan-genomic study of primary human retinoblastoma samples,312,2021/07/06,Microarray
GSE58780,Retinoblastoma gene expression data,66,2021/07/06,Microarray
GSE166912,Molecular profiles and urinary biomarkers of upper tract urothelial carcinomas associated with aristolochic acid exposure,94,2021/06/30,Microarray
GSE126595,Expression data from CLL patient samples investigated to define biologic heterogeneity.,726,2021/06/30,Microarray
GSE164760,Molecular characterization of hepatocellular carcinoma in patients with non-alcoholic steatohepatitis,170,2021/06/29,Microarray
GSE81801,Prognostic Liver Signature profiles of Jc1-infected Huh7.5.1dif cells treated with various drugs,90,2021/06/28,Microarray
GSE66843,A cell-based model unravels drivers for hepatocarcinogenesis and targets for clinical chemoprevention,265,2021/06/28,Microarray
GSE66841,"Gene expression profiles of Huh7.5.1 and HepG2 cells infected with HCV, HBV, HDV, and alcohol, and clinical liver tissues treated with various compounds of co-culture with LX2 cells",95,2021/06/28,Microarray
GSE161532,Gene expression profiling of Acute Myeloid Leukemia,61,2021/06/23,Microarray
GSE157984,Scottish Colorectal Cancer Vitamin D Intervention Study (SCoViDS),98,2021/06/23,Microarray
GSE116045,miR-579-3p controls hepatocellular carcinoma formation by regulating the PI3K-AKT pathway in chronically inflamed liver,196,2021/06/20,Microarray
GSE116044,miR-579-3p controls hepatocellular carcinoma formation by regulating the PI3K-AKT pathway in chronically inflamed liver (mRNA expression),98,2021/06/20,Microarray
GSE151103,Disruption of Y chromosome expression in male lung cancer,360,2021/06/15,Microarray
GSE151102,Disruption of Y chromosome expression in male lung cancer: replication,123,2021/06/15,Microarray
GSE151101,Disruption of Y chromosome expression in male lung cancer: discovery,237,2021/06/15,Microarray
GSE177549,Custom NanoString Gene Expression Assay for Subtype Identification in Glioblastoma,84,2021/06/13,Microarray
GSE173839,Durvalumab with olaparib and paclitaxel for high-risk HER2-negative stage II/III breast cancer: Results from the adaptively randomized I-SPY2 platform trial ,105,2021/06/10,Microarray
GSE176339,The Ewing Sarcoma Cell Line Atlas (ESCLA),306,2021/06/09,Microarray
GSE176190,The Ewing Sarcoma Cell Line Atlas (ESCLA) - expression profiling of 18 Ewing sarcoma cell lines in EWSR1-ETS-high versus -low condition,108,2021/06/09,Microarray
GSE176128,Long non-coding RNA landscape of patients biopsies from advanced Triple Negative Breast Cancer,55,2021/06/04,Microarray
GSE176126,Gene-expression profiling of osseous and non-osseous DLBCL with the NanoString nCounter technology,62,2021/06/04,Microarray
GSE169038,"Comparative Analysis of 1,152 African-American and European-American Men with Prostate Cancer Identifies Distinct Genomic and Immunological Differences",1152,2021/06/03,Microarray
GSE175692,Gene expression profiles of breast cancer metastasis according to organ site,184,2021/05/28,Microarray
GSE175433,Immune profiles of early onset vs late onset colorectal cancer,79,2021/05/25,Microarray
GSE140973,Secondary Resistance to Anti-EGFR Therapy by Transcriptional Reprogramming in Patient-Derived Colorectal Cancer Models,114,2021/05/21,Microarray
GSE141016,Tumor immune microenvironment difference primary and metastatic hepatocellular carcinoma,62,2021/05/18,Microarray
GSE137034,Chromatin accessibility governs the differential response of cancer and T-cells to arginine starvation,78,2021/05/10,Microarray
GSE161023,Differential genetic influences over colorectal cancer risk and gene expression in large bowel mucosa,481,2021/04/29,Microarray
GSE142162,Expression profiling of Ewing sarcoma samples,79,2021/04/29,Microarray
GSE133228,STAG2 promotes CTCF-anchored loop extrusion and cis-promoter and -enhancer interactions,336,2021/04/29,Microarray
GSE133120,Transcriptomic analysis of human cancer cell lines treated with the histone deacetylase inhibitor romidepsin,57,2021/04/29,Microarray
GSE118336,"HTA2.0 (human transcriptome array) analysis of control iPSC-derived motor neurons (MN), FUS-H517D-hetero-iPSC-MN, and FUS-H517D-homo-iPSC-MNs",60,2021/04/19,Microarray
GSE132112,Gene expression-profiling to predict induction chemotherapy efficacy in locoregionally advanced nasopharyngeal carcinoma,95,2021/04/14,Microarray
GSE171739,A gene set signature for the risk of progression in IgM MGUS to Waldenström Macroglobulinemia by microarray of B cells and plasma cells,105,2021/04/09,Microarray
GSE147933,TPLL samples and normal T cell fractions,105,2021/04/02,Microarray
GSE128213,Expression data from CRC patient-derived organoids,76,2021/04/01,Microarray
GSE169498,Screening and Identification of Key Microenvironment-Related Genes in Non-Functioning Pituitary Adenoma,73,2021/03/30,Microarray
GSE170999,Gene expression data of locally advanced rectal cancer patients by KRAS status,76,2021/03/29,Microarray
GSE147762,Global gene expression and Stromal contents improve prognostic power in PMP patients treated by CRS+HIPEC,102,2021/03/21,Microarray
GSE169033,Immune evolution from preneoplasia to invasive lung adenocarcinomas and underlying molecular features,85,2021/03/17,Microarray
GSE168422,Adult High Grade B-cell Lymphoma with Burkitt Lymphoma Signature: Genomic features and Potential Therapeutic Targets,112,2021/03/09,Microarray
GSE159514,Gene expression profiling of granulocytes from primary and secondary myelofibrosis,114,2021/03/09,Microarray
GSE138696,Gene expression data of serially sorted primary AML patient blasts prior and after treatment with the DNMT inhibitor decitabine (DAC),80,2021/03/09,Microarray
GSE163209,Expression analysis of human stage Ta and stage T1 bladder tumours,217,2021/02/22,Microarray
GSE167093,Sexual dimorphism in cancer: insights from transcriptional signatures in kidney tissues and renal cell carcinoma,656,2021/02/20,Microarray
GSE163114,Ki-67 promotes carcinogenesis by enabling global transcriptional programmes,52,2021/02/18,Microarray
GSE163722,Association of RERG Expression to Female Survival Advantage in Malignant Pleural Mesothelioma,177,2021/02/15,Microarray
GSE163720,Association of RERG Expression to Female Survival Advantage in Malignant Pleural Mesothelioma I,131,2021/02/15,Microarray
GSE166427,"Healthy, adjacent normal and tumor colon cells",486,2021/02/09,Microarray
GSE147711,Hsa_circ_102049 promotes liver metastasis of colorectal cancer by up-regulating Fraser extracellular matrix complex subunit 1,60,2021/02/08,Microarray
GSE45498,Integrated microRNA and mRNA Signatures Associated with Survival in Triple Negative Breast Cancer II,536,2021/02/01,Microarray
GSE136247,Expression data of tumor and non-tumor liver tissues from Peruvian patients with hepatocellular carcinoma (HCC),69,2021/01/31,Microarray
GSE144127,Diagnostic performance of transcriptomic signatures for the evaluation of suspected tuberculosis in routine clinical practice,628,2021/01/26,Microarray
GSE165004,Endometrial Tissue RNA expression in recurrent pregnancy losses and unexplained infertility vs. conrol,72,2021/01/18,Microarray
GSE115002,Gene expression profile of EGFRwt/KRASwt/ALKwt lung adenocarcinoma (“pan-driver-gene-negative” LUAD) and developing a prognostic signature for “pan-driver-gene-negative” LUAD,104,2021/01/08,Microarray
GSE164191,Blood based expression of colorectal cancer and healthy controls,121,2021/01/05,Microarray
GSE111477,Inflammatory versus non-inflammatory breast cancers,122,2021/01/04,Microarray
GSE87900,Gene expression profiling of elderly newly diagnosed multiple myeloma patients included in the HOVON87/NMSG-18 clinical trial,180,2021/01/01,Microarray
GSE156915,In-depth clinical and biological exploration of DNA Damage Immune Response (DDIR) as a biomarker for oxaliplatin use in colorectal cancer,361,2020/12/31,Microarray
GSE155484,Differential BET protein recruitment to IL-6 and IL-8 promoters and suppression of innate immunity and cell cycle genes by BET inhibitors in TNFalpha/IL-17 stimulated human keratinocytes,96,2020/12/31,Microarray
GSE148949,BKM120 Treated WHIMs_17 Model Cohort,54,2020/12/31,Microarray
GSE147472,GEP signatures in tumors from women with high grade early breast cancer,131,2020/12/23,Microarray
GSE163130,Expression Profiles of HepG2 cells treated with 7 compounds,54,2020/12/15,Microarray
GSE151335,NanoString nCounter with the Oxford Classifier of Carcinoma of the Ovary,160,2020/12/14,Microarray
GSE159472,Expression data from DLBCL expression study,180,2020/12/07,Microarray
GSE148705,Multi-parametric profiling of a large panel of engineered nanomaterials (ENM) points to surface chemistry as a key determinant of nanomaterial effects,96,2020/12/01,Microarray
GSE142401,The postprandial transcriptomic response of adipose tissue to high fat meals in middle-aged men with metabolic syndrome,76,2020/12/01,Microarray
GSE137419,Targeting aberrant DNA methylation in mesenchymal stromal cells as a treatment for myeloma bone disease,93,2020/11/25,Microarray
GSE137369,Targeting aberrant DNA methylation in mesenchymal stromal cells as a treatment for myeloma bone disease [expression],52,2020/11/25,Microarray
GSE151181,Gene and miRNA expression in radioiodine refractory and avid papillary thyroid carcinomas,99,2020/11/24,Microarray
GSE151179,Gene and miRNA expression in radioiodine refractory and avid papillary thyroid carcinomas (gene expression dataset),52,2020/11/24,Microarray
GSE157548,Plasma cells are enriched in localized prostate cancer in black men and are associated with improved outcomes,838,2020/11/18,Microarray
GSE157547,Plasma cells are enriched in localized prostate cancer in black men and are associated with improved outcomes [Validation Cohort],538,2020/11/18,Microarray
GSE153352,Plasma cells are enriched in localized prostate cancer in black men and are associated with improved outcomes [Discovery Cohort],300,2020/11/18,Microarray
GSE161533,Expression data from esophageal squamous cell carcinoma patients,84,2020/11/17,Microarray
GSE147786,Transcriptome and methylome analysis reveal three cellular origins of pituitary tumors,50,2020/11/16,Microarray
GSE140494,Gene expression-based prediction of neodjuvant chemotherapy response in early breast cancer,91,2020/11/15,Microarray
GSE161158,A SMAD4-modulated gene profile predicts disease-free survival in stage II and III colorectal cancer,250,2020/11/11,Microarray
GSE159289,Analytical validation of SKY92 for the identification of high-risk Multiple Myeloma,652,2020/10/28,Microarray
GSE153244,Brd/BET Proteins Influence the Genome-Wide Localization of the Kaposi’s Sarcoma-associated Herpesvirus and Murine Gammaherpesvirus Major Latency Proteins,98,2020/10/19,Microarray
GSE104724,Expression data and methylation analysis of IDH1 mutant and wild-type high grade gliomas,62,2020/10/06,Microarray
GSE146558,Gene Expression Signature of Microcalcification among Taiwanese Breast Cancer,109,2020/10/05,Microarray
GSE151345,Functional precision medicine identifies new therapeutic candidates for medulloblastoma,57,2020/10/01,Microarray
GSE104580,Using a novel gene signature for predicting the efficacy of the transarterial chemoembolization in patients with hepatocellular carcinoma.,147,2020/10/01,Microarray
GSE104006,miRNA and gene expression profiling in human thyroid carcinomas and non-neoplastic thyroids,68,2020/09/30,Microarray
GSE143383,Gene expression analysis of metastatic adrenocortical tumors,63,2020/09/25,Microarray
GSE158309,Prognostic significance of interferon-γ and its signaling pathway in early breast cancer depends on the molecular subtypes,461,2020/09/22,Microarray
GSE146204,"TP53 abnormalities correlate with immune infiltration and are associated with response to flotetuzumab, an investigational immunotherapy, in acute myeloid leukemia",64,2020/09/21,Microarray
GSE150576,AKT/mTOR/HER/PI3K family genes and phospho-proteins as predictors of pCR for early stage breast cancer patients treated with the AKT inhibitor MK2206 in the I-SPY 2 TRIAL,288,2020/09/20,Microarray
GSE149322,AKT/mTOR/HER/PI3K family genes as predictors of pCR for early stage breast cancer patients treated with the AKT inhibitor MK2206 in the I-SPY 2 TRIAL (NCT01042379),150,2020/09/20,Microarray
GSE157738,Monocyte-derived DC Expression Data from Advanced Staged Melanoma Patients,102,2020/09/10,Microarray
GSE103737,Transcriptional correlates of high norepinephrine content in ovarian carcinomas,97,2020/09/10,Microarray
GSE157011,Multi-institutional prospective validation of prognostic mRNA signatures in early stage squamous lung cancer (Alliance),484,2020/08/28,Microarray
GSE157010,Multi-institutional prospective validation of prognostic mRNA signatures in early stage squamous lung cancer (Alliance) [Cohort II],235,2020/08/28,Microarray
GSE157009,Multi-institutional prospective validation of prognostic mRNA signatures in early stage squamous lung cancer (Alliance) [cohort I],249,2020/08/28,Microarray
GSE142494,A dichotomy of gene regulatory associations during the activated B-cell to plasmablast transition,91,2020/08/24,Microarray
GSE132342,A gene expression prognostic signature for overall survival in patients with high-grade serous ovarian cancer,3769,2020/08/20,Microarray
GSE129978,AHR activation in glioblastoma cells and gene expression analysis of T cells in TCL1-AT mice.,92,2020/08/19,Microarray
GSE134359,Long noncoding RNA landscape in breast cancer [Mexico],86,2020/08/12,Microarray
GSE142191,Whole-exome and RNA sequencing of pulmonary carcinoid reveals chromosomal rearrangements associated with recurrence,59,2020/08/04,Microarray
GSE135304,"Non-Small Cell Lung Cancer, Peripheral Immunity, Extending the Tumor Macroenvironment",712,2020/08/02,Microarray
GSE119409,Expression data from rectal cancer,66,2020/08/01,Microarray
GSE126025,Ependymoma subpopulation lineages underlie clinical classification and outcome,95,2020/07/31,Microarray
GSE125861,Ependymoma subpopulation lineages underlie clinical classification and outcome (microarray data set),69,2020/07/31,Microarray
GSE126038,FGFR4 is a key regulator of tumor subtype differentiation in luminal breast cancer and metastatic disease,54,2020/07/29,Microarray
GSE153439,The Tumor Microenvironment and Inflammation Influence toxicity in patients with Large B Cell Lymphoma Treated with Axicabtagene Ciloleucel,61,2020/07/27,Microarray
GSE135820,Development and validation of PrOTYPE (Predictor of high-grade-serous Ovarian carcinoma molecular subTYPE),4077,2020/07/22,Microarray
GSE134160,Transcriptome-wide gene expression analysis of prostate cancer (PCa) tissue specimen on a custom expression microarray,164,2020/07/21,Microarray
GSE115755,Establishment of patient-derived tumor xenografts from Asian gastric adenocarcinoma is characterized by clonal selection and bias in molecular subtypes,89,2020/07/15,Microarray
GSE109857,A model of molecular characteristics to classify WHO Grade III glioma patients,225,2020/07/15,Microarray
GSE154286,Chemotherapy negatively impacts the tumor immune microenvironment in NSCLC: An analysis of pre- and post-treatment biopsies in the multi-center SAKK19/09 study,133,2020/07/14,Microarray
GSE152160,"Expression data from ""A patient-derived cell atlas of glioblastoma informs precision targeting of the proteasome"" (Johansson et al, Cell Reports, 2020)",145,2020/07/14,Microarray
GSE138178,LncRNA and mRNA expression profile in hepatocellular carcinoma patient paired tissues,98,2020/07/13,Microarray
GSE101425,Expression data from mesenchymal stromal cells derived from pediatric leukemia patients and healthy pediatric controls,86,2020/07/13,Microarray
GSE114375,Combining mathematical and statistical modeling to simulate time course bulk and single cell gene expression data in cancer with CancerInSilico,90,2020/07/09,Microarray
GSE151158,Transcriptional analysis of non-fibrotic NAFLD progression,66,2020/07/08,Microarray
GSE138660,Ets1 confers context-dependent activation of Notch signaling in T-cell leukemia,53,2020/07/07,Microarray
GSE134568,Mesenchymal subtypes of hepatocellular carcinoma,110,2020/07/01,Microarray
GSE134470,Gene expression analysis reveals close resemblance between Glioblastoma (GBM) patient tumors and corresponding patient-derived orthotopic xenografts (PDOXs),58,2020/07/01,Microarray
GSE153470,Molecular profiling of aromatase inhibitor-treated post-menopausal breast tumors identifies immunerelated correlates of resistance,162,2020/06/29,Microarray
GSE146114,Combining imaging- and gene-based hypoxia biomarkers in cervical cancer improves prediction of treatment failure independent of intratumor heterogeneity,142,2020/06/26,Microarray
GSE117973,Global gene expression analysis of primary head and neck cancer cases,77,2020/06/19,Microarray
GSE134051,Differential gene expression analysis by assessing expression variation between tissue specimen of prostate cancer (PCa) and benign prostate hyperplasia (BPH) on a custom expression microarray,255,2020/06/17,Microarray
GSE143382,"Gene expression in cutaneous T cell lymphoma (CTCL), dermatitis (D), and healthy subjects (HS)",128,2020/06/16,Microarray
GSE100150,A Transcriptome Fingerprinting Assay for Clinical Immune Monitoring,985,2020/06/16,Microarray
GSE134589,IMMUNE LANDSCAPES PREDICT CHEMOTHERAPY RESISTANCE AND IMMUNOTHERAPY RESPONSE IN ACUTE MYELOID LEUKAEMIA,432,2020/06/03,Microarray
GSE150615,Development of a gene expression-based prognostic signature for IDH wild-type glioblastoma,1079,2020/06/01,Microarray
GSE150614,Development of a gene expression-based prognostic signature for IDH wild-type glioblastoma [UCLA],154,2020/06/01,Microarray
GSE150612,Development of a gene expression-based prognostic signature for IDH wild-type glioblastoma [GLARIUS],123,2020/06/01,Microarray
GSE150604,Development of a gene expression-based prognostic signature for IDH wild-type glioblastoma [AVAglio],339,2020/06/01,Microarray
GSE149921,Development of a gene expression-based prognostic signature for IDH wild-type glioblastoma [ATE],463,2020/06/01,Microarray
GSE146814,Gene expression profiling of Splenic Marginal Zone Lymphoma,65,2020/05/28,Microarray
GSE136037,Gene-expression profiles of primary and metastatic lesions in head and neck squamous cell carcinoma,72,2020/05/21,Microarray
GSE144521,RNA profiles in serum and urine extracellular vesicles of patients with cholangiocarcinoma mimicking tumor expression: novel liquid biopsy approach,96,2020/05/18,Microarray
GSE142108,Identification of differentially expressed genes in actinic keratosis samples treated with ingenol mebutate gel,60,2020/05/18,Microarray
GSE150404,Expression data from patients with different stages of clear cell renal cell carcinoma,60,2020/05/13,Microarray
GSE67269,Integrative analysis of miRNAs and matched gene expression in ESCC,452,2020/05/12,Microarray
GSE44021,Intergrated analysis of array-miRNAs and matched Affymetrix gene,226,2020/05/12,Microarray
GSE108277,Gene Expression profile of Cetuximab response in Colorectal Cancer Derived Xenograft,120,2020/05/06,Microarray
GSE148944,Characterization of the immune profile of oral tongue squamous cell carcinomas with advancing disease,67,2020/05/01,Microarray
GSE144235,Incorporation of In Vitro Techniques for Botanicals Dietary Supplement Safety Assessment – Towards evaluation of Developmental and Reproductive Toxicity (DART),228,2020/05/01,Microarray
GSE38174,"A Study of the Gene Expression of Colorectal Liver Metastases: Tumour, ‘Halo’ and Liver Parenchyma",96,2020/05/01,Microarray
GSE143985,Clinical significance of gene signature generated from the grade of tumor budding in colorectal cancer,91,2020/04/24,Microarray
GSE146361,Gene expression profiling of 27 gastric cancer cell lines,108,2020/04/22,Microarray
GSE136644,POL and Z1031 Gene Expression_Final,603,2020/04/13,Microarray
GSE141479,Combination of host immune metabolic biomarkers for the PD-1 blockade cancer immunotherapy,74,2020/04/07,Microarray
GSE147271,Gene expression of primary breast cancers from patients before and after neo-adjuvant Tamoxifen treatment,102,2020/04/06,Microarray
GSE138081,"Identification of deregulated pathways, key regulators, and novel miRNA-mRNA interactions in HPV-mediated transformation.",131,2020/04/06,Microarray
GSE138079,"Identification of deregulated pathways, key regulators, and novel miRNA-mRNA interactions in HPV-mediated transformation. [mRNA cell lines-Agilent]",64,2020/04/06,Microarray
GSE137140,Blood test using serum microRNAs can discriminate lung cancer from non-cancer,3924,2020/03/30,Microarray
GSE133513,Sputum and blood transcriptomics characterization of the PDE4 inhibitor CHF6001 in COPD,495,2020/03/30,Microarray
GSE147571,Classification by a gene expression profile can help to select oxaliplatin- or irinotecan-based regimen for first-line treatment of metastatic colorectal cancer: Translational research of the TRICOLORE study,308,2020/03/27,Microarray
GSE132219,Epigenetic footprint of hepatoblastoma defines a novel integrative molecular classification with clinical implications,206,2020/03/23,Microarray
GSE132037,Epigenetic footprint of hepatoblastoma defines a novel integrative molecular classification with clinical implications [HTA-2_0],52,2020/03/23,Microarray
GSE132305,Molecular classification and therapeutic targets in extrahepatic cholangiocarcinoma,220,2020/03/22,Microarray
GSE147125,Profiling of the immune microenvironment in FL [PanCancer Immune Profiling],54,2020/03/18,Microarray
GSE135565,Gene expression profiles of the standardized uptake value in 18F-fluorodeoxyglucose positron emission tomography in tripple negative breast cancer,84,2020/03/18,Microarray
GSE131769,Genomic signature of the standardized uptake value in 18F-fluorodeoxyglucose positron emission tomography in breast cancer,301,2020/03/18,Microarray
GSE147033,Profiling of the immune microenvironment in FL,104,2020/03/17,Microarray
GSE144901,CLL intraclonal fractions exhibit established and recently-acquired patterns of DNA methylation,238,2020/03/16,Microarray
GSE144896,CLL intraclonal fractions exhibit established and recently-acquired patterns of DNA methylation [GE],118,2020/03/16,Microarray
GSE130823,Dissecting Expression Profiles of Gastric Precancerous Lesions and Early Gastric Cancer to Explore Crucial Molecules in Intestinal-type Gastric Cancer Tumorigenesis,94,2020/03/15,Microarray
GSE146965,Unraveling Tumor-Immune Heterogeneity in Advanced Ovarian Cancer Uncovers Immunogenic Effect of Chemotherapy,94,2020/03/14,Microarray
GSE146963,Unraveling Tumor-Immune Heterogeneity in Advanced Ovarian Cancer Uncovers Immunogenic Effect of Chemotherapy [Pre&Post-Tx],56,2020/03/14,Microarray
GSE146556,Global DNA hypomethylation in ovarian cancer,139,2020/03/06,Microarray
GSE146553,Global DNA hypomethylation in ovarian cancer (Affymetrix_expression_data),55,2020/03/06,Microarray
GSE126308,Biomarkers in older ovarian cancer patients,50,2020/03/01,Microarray
GSE67224,Molecular characterization of ovarian serous cystadenomas and fibromas,67,2020/03/01,Microarray
GSE126870,Impact of aromatase inhibitor treatment on global gene expression and its association with antiproliferative response in ER+ breast cancer in postmenopausal patients,178,2020/02/24,Microarray
GSE145733,Gene expression profiling of long noncoding RNAs in myelodysplastic syndromes,77,2020/02/22,Microarray
GSE131051,"Purity Independent Subtyping of Tumors (PurIST), a clinically robust single sample classifier for tumor subtyping in pancreatic cancer (NanoString)",58,2020/02/21,Microarray
GSE131049,"Purity Independent Subtyping of Tumors (PurIST), a clinically robust single sample classifier for tumor subtyping in pancreatic cancer",249,2020/02/21,Microarray
GSE112099,Discovery and validation of urinary molecular signature of early sepsis (discovery cohort),177,2020/02/20,Microarray
GSE112098,Discovery and validation of urinary molecular signature of early sepsis (validation cohort),73,2020/02/20,Microarray
GSE143626,Deregulation of ribosomal protein expression and translation promotes breast cancer metastasis,344,2020/02/07,Microarray
GSE108712,Validation of a gene signature in histologically normal surgical margins predictive of oral squamous cell carcinoma recurrence,575,2020/02/07,Microarray
GSE144803,Global expression analysis of primary endothelial cells before and after TNFa stimulation,78,2020/02/06,Microarray
GSE138650,Novel autophagy inhibitor Lys05 enhances impact of ionizing radiation on human lung cancer cells H1299,54,2020/02/04,Microarray
GSE141801,Contribution of mTOR and PTEN to Radioresistance in Sporadic and NF2-Associated Vestibular Schwannomas: A Microarray and Pathway Analysis.,74,2020/01/24,Microarray
GSE138118,Expression profile of Urothelial carcinoma of the urinary bladder (UCB) or bladder cancer from Blood,75,2020/01/24,Microarray
GSE125364,Multiple myeloma,96,2020/01/24,Microarray
GSE128959,Molecular changes during progression from early stage to advanced urothelial carcinoma,200,2020/01/20,Microarray
GSE143222,Prediction of prognostic signatures in triple-negative breast cancer based on the differential expression analysis via NanoString nCounter immune panel,55,2020/01/08,Microarray
GSE124534,Fat_challenge_tests,81,2020/01/01,Microarray
